2024-07-25-21-21-46.fit***#exceed***Neuffen StreichenKleben EVA-MARIA***8,37***101***00:20:58***24***FALSE
2024-07-25-16-24-19.fit***#exceed***Neuffen StreichenKleben EVA-MARIA***7,97***152***00:23:17***20,5***FALSE
2024-07-22-16-25-11.fit***#exceed***Dischingen >> Ulm***66,94***140***02:41:43***24,8***FALSE
2024-07-21-12-44-33.fit***#exceed***Dischingen Ostalbschotter***83,37***1428***03:54:01***21,4***TRUE
2024-07-18-12-36-06.fit***#exceed***Bad Urach >> Dischingen***97,69***1279***04:33:18***21,4***TRUE
2024-07-14-11-09-11.fit***#exceed***Rutschenfelsen >> Upfingen #Plattenrunde v1***32,47***818***01:52:51***17,3***FALSE
2024-07-13-10-59-00.fit***#exceed***Metzingen #Regeneration***24,77***512***01:21:20***18,3***FALSE
2024-07-09-16-37-07.fit***#exceed***MetzingenTübingenMetzingen***56,06***272***02:05:45***26,7***FALSE
2024-07-07-11-10-58.fit***#exceed***Lautertal >> Münsingen >> Bad Urach***81,1***829***03:19:05***24,4***FALSE
2024-06-29-13-24-59.fit***#exceed***Vaihingen/Enz >> Siebenmühlental >> Metzingen***71,44***981***03:36:26***19,8***FALSE
2024-06-25-14-59-50.fit***#exceed***MetzingenTübingenMetzingen***60,21***321***02:24:20***25***FALSE
2024-06-22-11-03-30.fit***#exceed***NAUDERS Marathon***89,4***2310***05:19:19***16,8***TRUE
2024-06-21-14-18-37.fit***#exceed***NAUDERS #Regeneration***24,14***643***01:29:32***16,2***FALSE
2024-06-20-11-36-55.fit***#exceed***NAUDERS Kaunertaler Gletscherstraße***80,07***1962***04:05:25***19,6***TRUE
2024-06-16-10-07-24.fit***#exceed***Metzingen Flugfeld n=2***33,78***862***01:50:13***18,4***FALSE
2024-06-11-16-59-26.fit***#exceed***Metzingen #Regeneration***27,21***557***01:24:21***19,4***FALSE
2024-06-08-13-58-17.fit***#exceed***Metzingen Flugfeld n=5***70,21***2032***04:00:46***17,5***TRUE
2024-06-04-17-00-22.fit***#exceed***Metzingen Flugfeld n=3***46,98***1344***02:34:39***18,2***FALSE
2024-06-03-16-36-53.fit***#exceed***Metzingen #Regeneration***21,07***406***01:03:16***20***FALSE
2024-05-29-18-55-37.fit***#exceed***CANYON EXCEED CF SLX MVDP***33,8***937***01:56:15***17,4***FALSE
2024-05-26-15-47-16.fit***#exceed***CANYON EXCEED CF SLX MVDP***31,36***140***01:18:18***24***FALSE
2024-05-26-11-36-34.fit***#exceed***CANYON EXCEED CF SLX MVDP***39,86***717***02:16:01***17,6***FALSE
2024-05-20-13-53-55.fit***#slx99***Metzingen***25,7***451***01:29:28***17,2***FALSE
2024-05-12-13-15-15.fit***#slx99***Metzingen Mai 1200hm***47,77***1218***03:01:20***15,8***FALSE
2024-05-10-15-45-14.fit***#slx99***Metzingen***29,79***733***01:42:09***17,5***FALSE
2024-05-09-15-07-13.fit***#slx99***Metzingen***24,2***531***01:22:37***17,6***FALSE
2024-05-04-12-26-06.fit***#slx99***Metzingen***15,6***302***00:58:25***16***FALSE
2024-05-01-13-23-06.fit***#slx99***Metzingen***35,68***821***02:08:29***16,7***FALSE
